code	status	stage	severity	moment	source_line	fix_kind	actionable	tier_or_toolchain	invoking_commands	fix_commands	fix_paths	violations	fix
E0001	active	jet	error	compile	7	source_edit	true	false					Remove the stray character or complete the escape or brace.
E0002	active	jet	error	compile	8	source_edit	true	false					Close the unterminated text literal, interpolation, or block comment.
E0003	active	parse	error	compile	9	source_edit	true	false					Write the complete statement form named by the diagnostic
E0004	retired	parse	error	compile	10	non_actionable	false	false					Follow the guidance for E0004
E0005	retired	parse	error	compile	11	non_actionable	false	false					Follow the guidance for E0005
E0006	retired	parse	error	compile	12	non_actionable	false	false					Follow the guidance for E0006
E0007	retired	jet	error	compile	13	source_edit	true	false					Do not use E0007
E0008	retired	parse	error	compile	14	non_actionable	false	false					Follow the guidance for E0008
E0009	retired	parse	error	compile	15	non_actionable	false	false					Follow the guidance for E0009
E0010	retired	parse	error	compile	16	non_actionable	false	false					Follow the guidance for E0010
E0011	retired	sema	error	compile	17	non_actionable	false	false					Follow the guidance for E0011
E0012	retired	parse	error	compile	18	non_actionable	false	false					Follow the guidance for E0012
E0013	retired	parse	error	compile	19	non_actionable	false	false					Follow the guidance for E0013
E0014	retired	parse	error	compile	20	non_actionable	false	false					Follow the guidance for E0014
E0015	retired	parse	error	compile	21	non_actionable	false	false					Follow the guidance for E0015
E0016	retired	parse	error	compile	22	non_actionable	false	false					Follow the guidance for E0016
E0017	retired	parse	error	compile	23	non_actionable	false	false					Follow the guidance for E0017
E0018	retired	parse	error	compile	24	non_actionable	false	false					Follow the guidance for E0018
E0019	retired	parse	error	compile	25	non_actionable	false	false					Follow the guidance for E0019
E0020	retired	parse	error	compile	26	non_actionable	false	false					Follow the guidance for E0020
E0021	retired	parse	error	compile	27	non_actionable	false	false					Follow the guidance for E0021
E0022	retired	parse	error	compile	28	non_actionable	false	false					Follow the guidance for E0022
E0023	retired	parse	error	compile	29	non_actionable	false	false					Follow the guidance for E0023
E0024	retired	parse	error	compile	30	non_actionable	false	false					Follow the guidance for E0024
E0025	retired	parse	error	compile	31	non_actionable	false	false					Follow the guidance for E0025
E0026	retired	parse	error	compile	32	non_actionable	false	false					Follow the guidance for E0026
E0027	retired	parse	error	compile	33	non_actionable	false	false					Follow the guidance for E0027
E0028	retired	parse	error	compile	34	non_actionable	false	false					Follow the guidance for E0028
E0029	active	parse	error	compile	35	source_edit	true	false					Keep exactly one access marker on the parameter.
E0030	retired	parse	error	compile	36	non_actionable	false	false					Follow the guidance for E0030
E0031	active	parse	error	compile	37	source_edit	true	false					Use `extern rust` for foreign functions and place the call behind its required gate.
E0032	retired	parse	error	compile	38	non_actionable	false	false					Follow the guidance for E0032
E0033	retired	parse	error	compile	39	non_actionable	false	false					Follow the guidance for E0033
E0034	active	parse	error	compile	40	source_edit	true	false					Write generic arguments as `Type<Args>`.
E0035	active	sema	error	compile	41	source_edit	true	false					Use a literal, a same-file `@` binding, or another comptime expression that produces an in-range integer.
E0036	retired	parse	error	compile	42	non_actionable	false	false					Follow the guidance for E0036
E0037	active	sema	error	compile	43	source_edit	true	false					Replace `println!`/`eprintln!` with `print`/`io.eprint`.
E0038	retired	sema	error	compile	44	non_actionable	false	false					Follow the guidance for E0038
E0039	active	sema	error	compile	45	source_edit	true	false					Use `env.get` instead of `os.environ` or `getenv`.
E0040	active	sema	error	compile	46	source_edit	true	false					Use `core.tasks as tasks` and call `tasks.spawn(() -> work())`.
E0041	active	sema	error	compile	47	source_edit	true	false					Create `channel<T>()` and send owned values, or write `shared value` and edit it through `guard_edit()` (a guard can `wait` on a `Condition`).
E0042	active	lex	error	compile	48	source_edit	true	false					Move `#!...` to line 1, or delete it
E0043	active	jet	error	compile	49	exact_command	true	false	jet fetch	jet fetch	package.jet		Run `jet fetch` to install all dependencies listed in package.jet
E0044	retired	parse	error	compile	50	non_actionable	false	false					Follow the guidance for E0044
E0045	retired	parse	error	compile	51	non_actionable	false	false					Follow the guidance for E0045
E0046	active	parse	error	compile	52	source_edit	true	false					Handle the optional value before calling its method; `?.` reaches fields, not methods.
E0047	active	type	error	compile	53	source_edit	true	false					Make the left operand optional (`T?`) before using `?.`.
E0048	active	parse	error	compile	54	source_edit	true	false					Use named tuple members instead of positional tuple access.
E0049	active	parse	error	compile	55	source_edit	true	false					Use named tuple members instead of `.0` field access.
E0050	retired	parse	error	compile	56	non_actionable	false	false					Follow the guidance for E0050
E0051	retired	parse	error	compile	57	non_actionable	false	false					Follow the guidance for E0051
E0052	retired	parse	error	compile	58	non_actionable	false	false					Follow the guidance for E0052
E0053	retired	parse	error	compile	59	non_actionable	false	false					Follow the guidance for E0053
E0054	retired	parse	error	compile	60	non_actionable	false	false					Follow the guidance for E0054
E0055	retired	parse	error	compile	61	non_actionable	false	false					Follow the guidance for E0055
E0056	retired	parse	error	compile	62	non_actionable	false	false					Follow the guidance for E0056
E0057	retired	parse	error	compile	63	source_edit	true	false					Remove `take(...)` and use the captured names directly.
E0058	retired	parse	error	compile	64	non_actionable	false	false					Follow the guidance for E0058
E0059	active	parse	error	compile	65	source_edit	true	false					Write `#Scrub(Tag) fn` instead of a bare `sanitizer fn`.
E0060	retired	parse	error	compile	66	non_actionable	false	false					Follow the guidance for E0060
E0062	retired	retired	error	compile	67	non_actionable	false	false					Follow the guidance for E0062
E0063	active	parse	error	compile	68	source_edit	true	false					Use `#` for an applied rule and reserve `@` for compile-time or fact reads.
E0064	active	parse	error	compile	69	source_edit	true	false					Give the foreign function one triple-quoted raw foreign-source string body.
E0065	retired	parse	error	compile	70	exact_command	true	false		jet fmt			Replace the marker with `->`; `jet fmt` applies this fix.
E0066	retired	parse	error	compile	71	source_edit	true	false					Replace it with `-[Effects]>`, or write `-[]>` for an empty effect ceiling.
E0067	reserved	lex	error	compile	72	non_actionable	false	false					Follow the guidance for E0067
E0068	retired	parse	error	compile	73	source_edit	true	false					Write `fn name(...) Type -> body`, or `fn name(...) Type -[Effects]> { … }`.
E0070	retired	parse	error	compile	74	source_edit	true	false					Replace the retired arrow with `->`. For an effect ceiling, write `-[Effects]>`.
E0071	retired	parse/sema	error	compile	75	non_actionable	false	false					Follow the current one-line body rule
E0072	active	sema	error	compile	76	source_edit	true	false					Remove `->`, or iterate a finite source. Return one final value from an ordinary loop with `break value`.
E0073	active	sema	error	compile	77	source_edit	true	false					Return a value on this path, or use `next` to omit the item. Remove `->` if the loop only performs effects.
E0074	active	sema	error	compile	78	source_edit	true	false					Convert the items to one type, or split the operations into separate loops.
E0075	active	sema	error	compile	79	source_edit	true	false					Write `break` to return the accumulated list, or return one final value from an ordinary loop.
E0076	active	sema	error	compile	80	source_edit	true	false					Add the missing payload and make every payload the same type, or target an inner effect-only loop.
E0077	retired	parse	error	compile	81	source_edit	true	false					Write `#FX(grant: FS, Net) { ... }`.
E0078	active	sema	error	compile	82	source_edit	true	false					Add `?? fallback` after the closing `}`, or write a labeled search such as `found :: loop { ... break(found, value) }`.
E0079	active	sema	error	compile	83	source_edit	true	false					Bind the loop with `::`, or remove the payload.
E0080	active	parse	error	compile	84	source_edit	true	false					Write `fn name(...) Type -> { ... }`; keep `fn name(...) { ... }` bare for a unit result.
E0101	active	sema	error	compile	94	source_edit	true	false					Add `fn run() { ... }` to the entry file
E0102	active	sema	error	compile	95	source_edit	true	false					Did you mean `print`?
E0103	active	sema	error	compile	96	source_edit	true	false					Add an argument to `print`, for example `print("hello")`.
E0104	active	sema	error	compile	97	source_edit	true	false					Change the `show` call to pass exactly one argument.
E0105	active	sema	error	compile	98	source_edit	true	false					Rename or remove one of the definitions
E0106	active	sema	error	compile	99	source_edit	true	false					Rename the declaration so it does not shadow a built-in.
E0107	active	sema	error	compile	100	source_edit	true	false					Did you mean `score`?
E0108	active	sema	error	compile	101	source_edit	true	false					Put the value in text with interpolation: "{x}"
E0109	active	sema	error	compile	102	source_edit	true	false					Use a supported operand pair, call a named method, or implement the operator's hook trait on your own type for this pair
E0110	active	sema	error	compile	103	source_edit	true	false					Compare the value to something, e.g. `x > 0` or `name == "ok"`
E0111	active	sema	error	compile	104	source_edit	true	false					Declare it with `x := ...` instead
E0112	active	sema	error	compile	105	source_edit	true	false					Use a value of the expected type, or convert it before passing or interpolating it
E0113	active	sema	error	compile	106	source_edit	true	false					Return a value matching the enclosing function's declared result.
E0114	active	sema	error	compile	107	source_edit	true	false					Put one unadorned expression last, or use `return ...` for an early exit.
E0115	active	sema	error	compile	108	source_edit	true	false					Use `break` or `next` only inside a loop.
E0116	active	sema	error	compile	113	source_edit	true	false					Use a value-producing call here, or discard the valueless call as a statement.
E0118	active	sema	error	compile	114	source_edit	true	false					Rename the binding or remove the existing declaration.
E0119	active	sema	error	compile	115	source_edit	true	false					Use one of the known effect names, or remove it from the list
E0120	active	sema	error	compile	116	source_edit	true	false					Write `~name` for an owning copy, add `^` to the parameter when it should take ownership, or remove `copies: .Explicit` for the default materialization
E0121	active	sema	error	compile	117	source_edit	true	false					Move `{name}` only to its consuming use `{consumer}`, or write `~{name}` before reusing it.
E0123	active	sema/runtime	error	compile	118	source_edit	true	false					Use a positive `Int` literal or expression for the loop stride.
E0124	active	sema	error	compile	119	source_edit	true	false					Make every `if` expression branch produce the same type.
E0126	active	sema	error	compile	120	source_edit	true	false					Move the referenced parameter before the parameter that uses it as a default.
E0127	active	sema	error	compile	121	source_edit	true	false					Use `#Numeric`, an explicit unit conversion, or one commensurable numeric type.
E0128	retired	sema	error	compile	122	non_actionable	false	false					Follow the guidance for E0128
E0129	active	sema	error	compile	123	source_edit	true	false					Base the distinct type on a primitive or other non-distinct type.
E0131	active	sema	error	compile	124	source_edit	true	false					`Float` and `Decimal` cannot be mixed; convert the operands to one numeric type.
E0133	active	sema	error	compile	125	source_edit	true	false					Use a supported `Decimal` operator or convert before operating.
E0134	active	sema	error	compile	126	source_edit	true	false					Declare the suffix in an in-scope `#UnitFamily` or remove it.
E0135	active	sema	error	compile	127	source_edit	true	false					Use a comptime integer within the range type's declared bounds.
E0136	active	sema	error	compile	128	source_edit	true	false					Use the fallible `?` form when constructing the range from a runtime value.
E0137	active	parse	error	compile	129	source_edit	true	false					Declare range bounds with `lo <= hi`.
E0138	active	sema	error	compile	130	source_edit	true	false					Grant the required operation bundle on the distinct type.
E0139	active	sema	error	compile	131	source_edit	true	false					Keep `#Pre` and `#Post` conditions free of effects.
E0140	active	sema	error	compile	132	source_edit	true	false					Consume the `#SingleUse` value before scope end.
E0141	active	sema	error	compile	133	source_edit	true	false					Consume the `#SingleUse` value on every control-flow branch.
E0142	active	sema	error	compile	134	source_edit	true	false					Move the `#SingleUse` value instead of lending or sharing it.
E0143	active	sema	error	compile	135	source_edit	true	false					Put the deliberate `consume` inside a `#Unsafe("reason")` region or function.
E0144	active	sema	error	compile	136	source_edit	true	false					Use `result` in a `#Post` condition, not in `#Pre`.
E0145	active	parse	error	compile	137	source_edit	true	false					Apply `#Persist` only to a module-level binding.
E0146	retired	parse	error	compile	138	non_actionable	false	false					Follow the guidance for E0146
E0147	active	parse	error	compile	139	source_edit	true	false					Put literal text between adjacent `{}` holes in the string pattern.
E0148	active	sema	error	compile	140	source_edit	true	false					Add an `else` arm to cover values that do not match the str pattern.
E0149	active	sema	error	compile	141	source_edit	true	false					Use `Type.from(text)` to construct the checked text value before using it.
E0150	active	sema	error	compile	142	source_edit	true	false					Transition the value into `{required}` first — call the transition that reaches it (e.g. `pay` to reach `Confirmed`).
E0151	active	sema	error	compile	143	source_edit	true	false					Correct the spelling, or add `{state}` inside `struct {type} { state { … } }`.
E0152	active	sema	error	compile	144	source_edit	true	false					Use a valid typed `Regex` literal without interpolation.
E0153	active	sema	error	compile	145	exact_command	true	false		jet check			Correct the `protocol {name}` declaration, then run `jet check`; report the generated handle fragment if it still fails.
E0154	active	parse	error	compile	152	source_edit	true	false					Write `client: Message(…)` when the client sends, or `server: Message(…)` when the server sends.
E0155	active	sema	error	compile	153	source_edit	true	false					Write a valid typed literal with holes only in URL or Path components; write `DateTime{"…"}` without holes, or parse a runtime String explicitly
E0156	active	sema	error	compile	154	source_edit	true	false					Write `{gate}(value)` at this boundary
E0157	active	parse	error	compile	155	source_edit	true	false					Move the states into the owner: write `struct {type}` with `state {states}` inside its body
E0158	active	parse	error	compile	156	source_edit	true	false					Move `state { … }` into the named struct body
E0159	active	sema	error	compile	157	source_edit	true	false					Add one `state { Name, … }` section inside `struct {type}`, or remove the typestate marker
E0160	active	sema	error	compile	146	source_edit	true	false					Use a `:=` binding and write `name += 1` / `name -= 1`.
E0161	active	sema	error	compile	147	source_edit	true	false					Declare with `:=` or mark the parameter with the write-access marker `&` if the function should change it.
E0162	active	sema	error	compile	148	source_edit	true	false					On `Float`, use `+= 1.0` / `-= 1.0`; otherwise use `+= 1` / `-= 1` on an integer binding.
E0163	active	sema	error	compile	149	source_edit	true	false					Write a total update, such as `map[key] = (map.get(key) ?? 0) {op} 1`
E0164	active	sema	error	compile	150	source_edit	true	false					Write a total update, such as `map[key] = (map.get(key) ?? 0) {op} 1`
E0165	active	parse	error	compile	151	source_edit	true	false					Bind the value with `:=`, then write `name {op} value`
